Spoken form, Cursorless identifier
bound, excludeInterior
head, extendThroughStartOf
inside, interiorOnly
just, toRawSelection
slice, verticalRange
tail, extendThroughEndOf


# 2022-06-22 18:48:05 - New entries automatically added by cursorless
leading, leading
trailing, trailing

# 2022-10-07 13:09:42 - New entries automatically added by cursorless
backward, backward
content, keepContentFilter
empty, keepEmptyFilter
every, every
first, first
last, last
next, next
previous, previous

# 2022-10-18 16:44:09 - New entries automatically added by cursorless
its, inferPreviousMark

# 2023-03-02 14:54:19 - New entries automatically added by cursorless
forward, forward

# 2023-12-08 20:53:20 - New entries automatically added by cursorless
visible, visible
